date,amount,vendor,description
2026-05-02,420.00,Swiggy,Friday dinner
2026-05-04,260.50,Zomato,Lunch
2026-05-06,180.00,Starbucks,Coffee
2026-05-09,510.00,Swiggy,Team snacks
2026-05-11,340.00,Dominos,Pizza night
2026-05-14,2450.00,BigBasket,Monthly groceries
2026-05-15,890.00,Blinkit,Top-up groceries
2026-05-18,240.00,Uber,Office commute
2026-05-19,310.00,Ola,Airport drop
2026-05-22,1299.00,Myntra,T-shirts
2026-05-24,799.00,Netflix,Annual plan instalment
2026-05-26,1180.00,Airtel,Broadband
2026-05-28,640.00,PharmEasy,Medicines
2026-05-30,2100.00,MakeMyTrip,Weekend trip booking
2026-06-01,395.00,Swiggy,Sunday brunch
2026-06-03,275.00,Uber Eats,Late dinner
2026-06-05,150.00,Third Wave Coffee,Espresso
2026-06-07,480.00,Zomato,Office lunch
2026-06-10,2680.00,DMart,Groceries and household
2026-06-12,730.00,Zepto,Fruit and milk
2026-06-13,225.00,Rapido,Bike ride
2026-06-15,410.00,Uber,Weekend cab
2026-06-17,3499.00,Amazon,Headphones
2026-06-19,649.00,Ajio,Shoes
2026-06-21,199.00,Spotify,Monthly plan
2026-06-23,1350.00,Tata Power,Electricity bill
2026-06-25,890.00,Apollo Pharmacy,Prescription
2026-06-27,520.00,BookMyShow,Movie tickets
2026-06-29,12500.00,MakeMyTrip,Flight to Delhi
2026-07-02,455.00,Swiggy,Dinner
2026-07-04,290.00,Dominos,Garlic bread and pizza
2026-07-06,165.00,Starbucks,Cold brew
2026-07-08,505.00,Zomato,Team lunch
2026-07-11,2890.00,BigBasket,Monthly groceries
2026-07-13,760.00,Blinkit,Snacks
2026-07-15,265.00,Uber,Commute
2026-07-16,340.00,Ola,Evening ride
2026-07-18,2199.00,Flipkart,Kitchen appliance
2026-07-20,499.00,Nykaa,Skincare
2026-07-22,299.00,Hotstar,Subscription
2026-07-24,1420.00,BESCOM,Electricity
2026-07-26,15800.00,Apollo Hospital,Dental procedure
2026-07-28,610.00,PVR,Movie and snacks
2026-07-30,1850.00,IRCTC,Train tickets
2026-08-01,430.00,Swiggy,Team lunch
2026-08-02,320.00,Uber Eats,Dinner
2026-08-03,9800.00,Zomato,Office party catering
2026-08-04,175.00,Cafe Coffee Day,Filter coffee
2026-08-05,2750.00,DMart,Groceries
2026-08-06,845.00,Zepto,Vegetables
2026-08-07,280.00,Rapido,Bike ride
2026-08-08,395.00,Uber,Cab to station
2026-08-09,1799.00,Croma,Phone case and charger
2026-08-10,249.00,Netflix,Monthly plan
2026-08-11,1265.00,Airtel,Broadband
2026-08-12,720.00,1mg,Vitamins
